"Commodity","Category","Item","Units","Size","Region","Country","Year","Value","Survey base year"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2018,17.38,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2019,19.86,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2020,19.34,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2021,18.93,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2022,25.5,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2023,20.58,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Northern Crescent","United States",2024,22.77,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2000,13.12,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2001,15.54,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2002,12.54,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2003,12.62,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2004,15.82,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2005,14.23,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2006,12.17,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2007,18.54,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2008,17.38,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2009,12.23,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2010,15.21,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2011,18.28,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2012,17.01,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2013,17.93,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2014,21.35,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2015,15.39,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2016,15.86,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2017,16.86,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2018,15.36,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2019,17.5,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Prairie Gateway","United States",2020,16.93,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2000,13.83,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2001,16.45,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2002,13.55,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2003,13.78,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2004,17.47,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2005,15.64,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2006,13.68,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2007,19.67,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2008,19.45,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2009,13.65,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2010,18,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2011,20.33,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2012,20.33,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2013,22.52,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2014,26.38,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2015,20.06,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2016,17.35,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2017,18.83,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2018,17.25,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2019,19.57,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2020,18.77,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2021,19.63,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2022,26.85,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2023,22.33,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Eastern Uplands","United States",2024,25,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2000,14.07,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2001,16.7,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2002,13.87,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2003,13.99,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2004,17.58,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2005,16.09,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2006,14.39,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2007,20.62,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2008,20.52,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2009,14.83,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2010,17.59,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2011,20.07,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2012,19.21,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2013,20.97,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2014,24.71,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2015,18.88,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2016,17.59,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2017,19.53,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2018,17.84,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2019,19.47,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2020,19.32,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2021,18.17,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2022,25.38,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2023,20.91,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Southern Seaboard","United States",2024,23.32,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Basin and Range","United States",2016,21.37,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Basin and Range","United States",2017,23.5,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Basin and Range","United States",2018,21.93,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Basin and Range","United States",2019,25.09,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Basin and Range","United States",2020,24.53,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2000,11.98,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2001,14.55,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2002,11.62,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2003,11.92,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2004,15.48,"Base survey of 2000"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2005,14.49,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2006,12.18,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2007,18.51,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2008,17.41,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2009,12.05,"Base survey of 2005"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2010,15.18,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2011,18.6,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2012,17.48,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2013,18.93,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2014,22.66,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2015,15.99,"Base survey of 2010"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2016,15.97,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2017,17.47,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2018,16.43,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2019,18.87,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2020,18.54,"Base survey of 2016"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2021,18.32,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2022,25.27,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2023,20.27,"Base survey of 2021"
"Milk","Gross value of production","Milk sold","dollars per hundredweight sold","No specific size","Fruitful Rim","United States",2024,22.24,"Base survey of 2021"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2000,1.05,"Base survey of 2000"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2001,1.12,"Base survey of 2000"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2002,1.03,"Base survey of 2000"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2003,1.17,"Base survey of 2000"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2004,1.35,"Base survey of 2000"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2005,1.3,"Base survey of 2005"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2006,1.18,"Base survey of 2005"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2007,1.21,"Base survey of 2005"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2008,1.26,"Base survey of 2005"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2009,1.14,"Base survey of 2005"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2010,1.07,"Base survey of 2010"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2011,1.38,"Base survey of 2010"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2012,1.57,"Base survey of 2010"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2013,1.6,"Base survey of 2010"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2014,2.1,"Base survey of 2010"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2015,2,"Base survey of 2010"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2016,1.47,"Base survey of 2016"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2017,1.37,"Base survey of 2016"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2018,1.26,"Base survey of 2016"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2019,1.23,"Base survey of 2016"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2020,1.27,"Base survey of 2016"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2021,1.06,"Base survey of 2021"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2022,1.26,"Base survey of 2021"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2023,1.54,"Base survey of 2021"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","U.S. total","United States",2024,1.94,"Base survey of 2021"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2000,1.42,"Base survey of 2000"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2001,1.54,"Base survey of 2000"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2002,1.41,"Base survey of 2000"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2003,1.65,"Base survey of 2000"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2004,1.87,"Base survey of 2000"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2005,1.55,"Base survey of 2005"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2006,1.43,"Base survey of 2005"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2007,1.52,"Base survey of 2005"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2008,1.61,"Base survey of 2005"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2009,1.43,"Base survey of 2005"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2010,1.32,"Base survey of 2010"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2011,1.71,"Base survey of 2010"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2012,1.94,"Base survey of 2010"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2013,1.98,"Base survey of 2010"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2014,2.59,"Base survey of 2010"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2015,2.47,"Base survey of 2010"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2016,1.61,"Base survey of 2016"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2017,1.5,"Base survey of 2016"
"Milk","Gross value of production","Cattle","dollars per hundredweight sold","No specific size","Heartland","United States",2018,1.38,"Base survey of 2016"
